epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,118.213,1.84065,3.41109,2.43172,1.9571,0.22766,0.21362,0.16859,0.07223,0.00099,0.00249,0.00013,3e-05,2.22621,2.88061,2.40465,2.43894,0.00135344,0.00135344,0.00135344
78,119.794,1.80819,3.28818,2.32228,1.90102,0.35294,0.29066,0.23493,0.09565,0.00044,0.00498,7e-05,1e-05,2.15053,2.86607,2.21924,2.37273,0.00134931,0.00134931,0.00134931
79,121.297,1.81681,3.27254,2.24234,1.88558,0.67065,0.05128,0.12183,0.06052,0,0,0,0,2.26599,2.93566,3.28667,2.55511,0.00134519,0.00134519,0.00134519
80,122.777,1.81966,3.40095,2.32867,1.89341,0.83747,0.0641,0.12588,0.06153,0,0,0,0,2.26717,2.98821,3.35051,2.61635,0.00134106,0.00134106,0.00134106
81,124.277,1.75798,3.40228,2.23442,1.82162,0.29805,0.32702,0.25617,0.10413,0.0009,0.00498,0.00012,3e-05,2.15619,2.85933,2.38391,2.46688,0.00133693,0.00133693,0.00133693
82,125.781,1.73862,3.28554,2.28995,1.84405,0.23266,0.27784,0.21476,0.08356,0.00166,0.00498,0.00018,3e-05,2.16926,2.94685,2.43843,2.49696,0.00133281,0.00133281,0.00133281
83,127.288,1.8093,3.31171,2.29396,1.91214,0.22094,0.32625,0.21116,0.08466,0.00618,0.00498,0.0005,0.00013,2.22501,3.00163,2.48797,2.52554,0.00132868,0.00132868,0.00132868
84,128.817,1.84531,3.2154,2.35918,1.93073,0.23547,0.38002,0.23707,0.09373,0.01198,0.00249,0.0003,5e-05,2.14117,2.83108,2.38405,2.42701,0.00132456,0.00132456,0.00132456
85,130.339,1.81791,3.30655,2.33587,1.90217,0.2602,0.38787,0.23803,0.08925,0.02165,0.00498,0.00055,0.00013,2.17017,2.80333,2.32924,2.463,0.00132043,0.00132043,0.00132043
86,131.858,1.78615,3.30397,2.29341,1.87823,0.24904,0.40528,0.23213,0.08211,0.00427,0.00746,0.00144,0.00027,2.17698,2.79949,2.23125,2.46825,0.0013163,0.0013163,0.0013163
